skinkey_chin_size|下巴大小
skinkey_chin_shape|下巴形状
skinkey_chin_forward|下巴前凸
skinkey_jaw_width|颚宽
skinkey_jaw_position|下颚位置
skinkey_mouth_nose_distance|人中长度
skinkey_mouth_width|嘴巴宽度
skinkey_cheeks|脸颊
skinkey_nose_height|鼻子长度
skinkey_nose_width|鼻子宽度
skinkey_nose_size|鼻子高度
skinkey_nose_shape|鼻子形状
skinkey_nose_bridge|鼻梁高低
skinkey_cheek_bones|颧骨
skinkey_eye_width|眼睛宽度
skinkey_eye_to_eye_dist|两眼间距
skinkey_eye_shape|眼睛外形
skinkey_eye_depth|眼睛深度
skinkey_eyelids|眼皮
skinkey_eyebrow_position|眉毛位置
skinkey_eyebrow_height|眉毛高度
skinkey_eyebrow_depth|眉毛深度
skinkey_eyebrow_shape|眉毛形状
skinkey_temple_width|太阳穴宽度
skinkey_face_depth|面部深度
skinkey_face_ratio|面部比例
skinkey_face_width|面部宽度
skinkey_post_edit|编辑完成
skinkey_snout_height|鼻子高度
skinkey_snout_width|鼻子宽度
skinkey_snout_size|鼻子尺寸
skinkey_snout_shape|鼻子形状
skinkey_weight|脂肪堆积
skinkey_mouth_shape|嘴巴形状
skinkey_eye_size|眼睛尺寸
skinkey_eye_slant|眼睛倾斜
skinkey_frawn|眉弓
skinkey_mouth_vert_pos|嘴巴高度
skinkey_mouth_to_nose_dist|人中长度
skinkey_chin_width|下巴宽度
