itm_horse_meat|马肉
itm_practice_sword|练习剑
itm_arena_lance|骑枪
itm_practice_staff|木棒
itm_practice_bow|练习弓
itm_wooden_javelin|木制标枪
itm_human_meat|人肉
itm_maggoty_bread|生蛆的面包
itm_cram|足量的配给
itm_lembas|精灵饼干
itm_smoked_fish|熏鱼
itm_dried_meat|风干肉
itm_cattle_meat|牛肉
itm_grain|小麦
itm_tools|工具
itm_siege_supply|补给品
itm_quest_wine|葡萄酒
itm_quest_ale|麦芽酒
itm_metal_scraps_bad|劣质金属废料
itm_metal_scraps_medium|可用的金属废料
itm_metal_scraps_good|优质金属废料
itm_oliphant|猛犸象牙
itm_sumpter_horse|驮马
itm_saddle_horse|旅行马
itm_steppe_horse|草原马
itm_courser|骏马
itm_hunter|猎马
itm_pony|矮种马
itm_dunedain_warhorse|登丹战马
itm_rohirrim_courser|洛汗骏马
itm_rohirrim_hunter|洛汗猎马
itm_rohirrim_courser2|洛汗披甲骏马
itm_rohan_warhorse|洛汗战马
itm_thengel_warhorse|伊欧战马
itm_rhun_horse_a|卢恩马
itm_rhun_horse_b|卢恩马
itm_rhun_horse_d|卢恩马
itm_rhun_horse_e|卢恩重装马
itm_rhun_horse_f|卢恩重装马
itm_rhun_horse_g|卢恩重装马
itm_rhun_horse_h|卢恩重装马
itm_dale_horse|罗马尼安马
itm_dale_warhorse|罗马尼安战马
itm_riv_warhorse|瑞文戴尔战马
itm_riv_warhorse2|瑞文戴尔骏马
itm_mordor_warhorse|魔多战马
itm_mordor_warhorse2|魔多邪战马
itm_gondor_courser|刚铎骏马
itm_gondor_hunter|刚铎猎马
itm_dol_amroth_warhorse|多尔安罗斯战马
itm_dol_amroth_warhorse2|多尔安罗斯重装战马
itm_gondor_warhorse|刚铎战马
itm_gondor_lam_horse|拉密顿披甲战马
itm_lorien_warhorse|罗斯洛立安战马
itm_harad_horse|哈拉德马
itm_harad_warhorse|哈拉德战马
itm_variag_pony|维瑞亚矮种马
itm_variag_kataphrakt|东方人战马
itm_warg_1b|座狼
itm_warg_1c|座狼
itm_warg_1d|座狼
itm_wargarmored_1b|披甲座狼
itm_wargarmored_1c|披甲座狼
itm_wargarmored_2b|披甲座狼
itm_wargarmored_2c|披甲座狼
itm_wargarmored_3a|披甲座狼
itm_warg_reward|巨型座狼
itm_tree_trunk_club_a|树干
itm_giant_mace|巨型钉头锤
itm_troll_shield_a|食人妖盾
itm_arrows|箭
itm_gondor_arrows|刚铎箭
itm_orc_javelin|半兽人重标枪
itm_khergit_arrows|洛汗箭
itm_harad_arrows|哈拉德箭
itm_corsair_arrows|海盗箭
itm_ithilien_arrows|伊西力安箭
itm_woodelf_arrows|木精灵箭
itm_elven_arrows|精灵箭
itm_orc_hook_arrow|半兽人倒刺箭
itm_isengard_arrow|艾辛格箭
itm_leather_gloves|皮手套
itm_mail_mittens|链甲手套
itm_leather_boots|皮靴
itm_leather_boots_dark|骑兵靴
itm_splinted_greaves|夹板胫甲
itm_white_tunic_a|平民服装
itm_rohan_shoes|皮鞋
itm_furry_boots|毛靴
itm_black_tunic|黑色束腰外衣
itm_hood_black|黑兜帽
itm_hood_green|绿色兜帽
itm_hood_grey|灰色兜帽
itm_hood_leather|皮革兜帽
itm_mail_coif|链甲头巾
itm_axe_a|北方人斧
itm_axe_b|北方人长毛斧
itm_axe_c|北方人斧
itm_axe_d|北方人斧
itm_long_bearded_axe|北方人长毛巨斧
itm_2_handed_axe|北方人巨斧
itm_shortened_spear|短柄枪
itm_spear|长枪
itm_light_lance|轻型骑枪
itm_lance|骑枪
itm_tab_shield_small_round_b|圆形骑兵盾
itm_short_bow|短弓
itm_regular_bow|弓
itm_nomad_bow|游牧弓
itm_gondor_bow|刚铎弓
itm_strong_bow|硬弓
itm_elven_bow|精灵弓
itm_corsair_bow|海盗弓
itm_dwarf_horn_bow|矮人角弓
itm_dwarf_short_bow|矮人短弓
itm_harad_bow|哈拉德弯弓
itm_lg_bow|雕卫弓
itm_riv_bow|瑞文戴尔弓
itm_rhun_bow|毕额丘斯弓
itm_lorien_bow|罗斯洛立安皇家卫队弓
itm_isengard_large_bow|艾辛格大型弓
itm_dale_bow|河谷镇弓
itm_uruk_bow|半兽人角弓
itm_mirkwood_bow|幽暗密林弓
itm_dunland_javelin|登兰德标枪
itm_orc_throwing_arrow|半兽人镖
itm_heavy_throwing_spear|重型标枪
itm_javelin|标枪
itm_harad_javelin|哈拉德标枪
itm_gondor_javelin|刚铎标枪
itm_rohirrim_throwing_axe|飞斧
itm_loss_throwing_axes|罗萨那奇掷斧
itm_arnor_helm_c|亚尔诺饰纹盔
itm_arnor_helm_b|亚尔诺头盔
; itm_arnor_helm_a|Arnor Light Helm
; itm_arnor_light_a|Dunedain Ranger Jerkin
; itm_arnor_light_b|Dunedain Ranger Mail
; itm_arnor_med_a|Dunedain Ranger Coat
; itm_arnor_med_b|Dunedain Mail
itm_arnor_heavy|亚尔诺重甲
itm_arnor_greaves|亚尔诺胫甲
itm_arnor_shield_c|亚尔诺骑兵盾
; itm_arnor_shield_a|Arnor Round Shield
