hint_1|La Main Blanche ne saurait faire confiance à l’Œil, et il en va de même dans l'autre sens.
hint_2|Pour qui luttez vous, qui aidez vous, et où se tient une bataille où vous pouvez aidez vos alliés qui apprécieront peut-être vos efforts.
hint_3|Les éclaireurs sont une source d'information pour les royaumes, comme le sont les prisonniers traînés à leur salle de torture et d'interrogatoire. Libérer des prisonniers et déléguer des éclaireurs peut aveugler l'ennemi.
hint_4|Rappelez vous que vous avez une valeur différente de points de ressources avec chaque royaume, c'est ce qui vous permet de vous réapprovisionner en troupes et en équipement au sein de chaque royaume.
hint_5|L’effondrement militaire d'un royaume est irréversible. Le Mordor ne peut jamais subir ce sort, mais la guerre sera finie si sa force militaire est contenue et si tous ses alliés sont vaincus.
hint_6|Il faut un esprit calme (INT) pour éviter de paniquer face à un Nazgûl. Il faut un parfait contrôle de son cheval pour qu'il évite de paniquer.
hint_7|Vous pouvez faire pause sur la carte du monde en appuyant sur la barre d'espace. Toutefois, vos troupes blessées guérissent plus rapidement en se reposant dans une ville.
hint_8|Pour prendre et donner des objets rapidement dans la fenêtre d'inventaire, maintenez enfoncée la touche de contrôle pendant que vous faites un clic gauche.
hint_9|Vous pouvez quitter n'importe quel endroit en appuyant sur la touche de tabulation, et appuyer sur la touche d'effacement durant une bataille fera apparaître le panneau de commandement.
hint_10|Les animaux peuvent paniquer quand ils sont proches d'un Troll ou d'un Olog-hai. Faites attention!
hint_11|La main-d’œuvre est une ressource essentielle de chaque royaume : recruter et garder des troupes sous votre commandement consomera des points de ressources de la faction respective.
hint_12|Vous pouvez donner des ordres à vos troupes pendant une bataille. Vous pouvez maintenir la touche Maj pour zoomer tout en cherchant les ennemis éloignés. 
