str_yes|Oui.
str_no|Non.
str_noone|personne
str_s50_and_s51|{s50} Et {s51}
str_s5_s_party| {s5}'s Troupe
str_s5_s_host| {s5}'s Hôte
str_given_by_s1_at_s2|Donner par {s1} à {s2}
str_given_by_s1_in_wilderness|Donner par {s1} tandis que dans les champs
str_s7_raiders|{s7} Voleurs
str_bandits_eliminated_by_another|Les bandits ont été éliminé par une autre troupe.
str_msg_battle_won|Bataille gagnée! Appuyez sur la touche tabulation pour quitter...
str_tutorial_map1|Vous vous voyez actuellement sur le plan terrestre. Faites un clic gauche sur la carte pour déplacer votre groupe à cet endroit, entrer dans la ville sélectionnée, ou de poursuivre le groupe sélectionnée. Le temps s'arrête sur le plan terrestre si votre troupe ne bouge pas, en attente ou au repos. Pour attendre n'importe où, simplement appuyez et maintenez la barre d'espace.
str_accept|Accepter
str_charge|Ordre
str_color|Couleur
str_flip_horizontal|Retouner Horizontal
str_flip_vertical|Retourner Vertical
str_hold_fire|Hold Fire (Je ne suis pas sûr donc je préfère laisser tel quel)
str_blunt_hold_fire|Blunt / Hold Fire(Je ne suis pas sûr donc je préfère laisser tel quel)
str_tutorial_ammo_refilled|Munitions remplies.
str_custom_battle_1|Le captaine Malvogil et sa compagnie du Gondor ont intercepté un groupe de renforcement Harad. Criant son crie de guerre, il éperonna son cheval vers l'avant, et mena ses hommes loyaux à une féroce bataille.
str_custom_battle_2|Celeborn de la Lòrien mène une patrouille de chevaux montés et d'archers quand plus avant à l'affût vient une alerte qu'une force de mauvais hommes aux visages sombres approchent. Ce sont les redoutés Númenóréens noirs! Ceux-ci n'ont pas été vu depuis des âges près de la Lothlórien, mais maintenant ils doivent être repoussés dans le néant .
str_custom_battle_3|Le seigneur Grimbold of Rohan mène la dernière défense devant les murs contre une armée de l'Isengard. Maintenant, Puisque les assiégeants se preparent pour un assaut final sur les murs, il doit tenir les murs avec courage et avec l'acier briant.
str_custom_battle_4|Quand les éclaireurs informent le seigneur Grainwad d'une approche d'une bande armé du Rhun, Il décide de préparer rapidement les défenses du camp et d'essayer de tenir contre un nombre supérieur.
str_custom_battle_5|Ugluk a amené ses féroces orksies dans l'ouest avec la promesse de pillage. S'il peut faire tomber cette forteresse naine aujourd'hui, ses maîtres dans Barad-Dur seront extrêmement satisfait.
str_custom_battle_6|Ugluk et ses groupes de pilleurs orques étaient aussi vif que possible dans la fuite des patrouilles elfes. Mais les bonnes fortunes ne peuvent durer éternellement, and it seems like filthy paleskins will have their share now.
str_custom_battle_7|Les corsaires ont posé leur camp sur les rivages du Gondor! Comment osent-ils?! Allons les frapper avant qu'ils ne reçoivent des renforcements et rejetez les à la mer, là où est leur place.
str_finished|(Finished)
str_delivered_damage|Infligés {reg60} dommages.
str_archery_target_hit|Distance: {reg61} yards. Score: {reg60}
str_use_baggage_for_inventory|Utilisez votre bagage pour accéder à l'inventaire durant la bataille (c'est à votre position de départ).
str_cant_use_inventory_now|Impossible d'accéder à l'inventaire maintenant.
str_cant_use_inventory_arena|Impossible d'accéder à l'inventaire dans l'arène. [Remarque : c'est arène ou zone vous pensez ?]
str_cant_use_inventory_disguised|Impossible d'accéder à l'inventaire lorsque vous êtes déguisé.
str_cant_use_inventory_tutorial|Impossible d'accéder à l'inventaire dans le camp d'entraînement.
str_1_denar|1 Point de ressource.
str_reg1_denars|{reg1} Points de ressource.
str_january_reg1_reg2|T.A.{reg2}, Narvinyë {reg1} (Jan)
str_february_reg1_reg2|T.A.{reg2}, Nénimë {reg1} (Fev)
str_march_reg1_reg2|T.A.{reg2}, Súlìmë {reg1} (Mar)
str_april_reg1_reg2|T.A.{reg2}, Víressë {reg1 (Avr)}
str_may_reg1_reg2|T.A.{reg2}, Lótessë {reg1} (Mai)
str_june_reg1_reg2|T.A.{reg2}, Náríë {reg1} (Jun)
str_july_reg1_reg2|T.A.{reg2}, Cermië {reg1} (Jul)
str_august_reg1_reg2|T.A.{reg2}, Urimë {reg1} (Août)
str_september_reg1_reg2|T.A.{reg2}, Yavannië {reg1} (Sep)
str_october_reg1_reg2|T.A.{reg2}, Narquelië {reg1} (Oct)
str_november_reg1_reg2|T.A.{reg2}, Hísimë {reg1} (Nov)
str_december_reg1_reg2|T.A.{reg2}, Ringarë {reg1} (Dec)
str_calendar_spec_day_1|T.A.{reg2}, Yestarë (Premier Jour)
str_calendar_spec_day_2|T.A.{reg2}, Tuilérë (Jour de printemps)
str_calendar_spec_day_3|T.A.{reg2}, Loëndë (Jour de milieu de l'année)
str_calendar_spec_day_4|T.A.{reg2}, Yáviérë (Jour de récolte)
str_calendar_spec_day_5|T.A.{reg2}, Mettarë (Dernier Jour)
str_town_nighttime| C'est tard la nuit.
str_door_locked|La porte est verrouillée.
str_castle_is_abondened|Le château semble desert.
str_town_is_abondened|La ville n'a pas de garnison pour être defendue.
str_place_is_occupied_by_player|La place est tenue par vos troupes.
str_place_is_occupied_by_enemy|La place est tenue par des troupes ennemies.
str_place_is_occupied_by_friendly|La place est tenue par des troupes alliées.
str_do_you_want_to_retreat|Êtes vous sûr de vouloir vous replier?
str_give_up_fight|Abandonner le combat?
str_do_you_wish_to_leave_tutorial|Voulez vous quitter le tutoriel?
str_do_you_wish_to_surrender|Voulez vous vous rendre?
str_can_not_retreat|Impossible de se replier, des ennemis sont proches!
